words,values
,0.003194888178913738
blurai,7.021732261348875e-05
onlin,0.0007372818874416319
borrow,7.021732261348875e-05
orang,0.00010532598392023312
stai,0.0009830425165888424
mobsi,3.5108661306744374e-05
wwq,3.5108661306744374e-05
pick,0.002176737001018151
rtm,7.021732261348875e-05
easiest,7.021732261348875e-05
mate,0.00042130393568093246
othr,7.021732261348875e-05
maga,0.00010532598392023312
mcr,7.021732261348875e-05
even,0.0008777165326686094
profil,7.021732261348875e-05
callcost,3.5108661306744374e-05
matric,7.021732261348875e-05
nxt,0.00021065196784046623
belong,0.00010532598392023312
tortilla,0.00010532598392023312
custcar,3.5108661306744374e-05
glad,0.0003159779517606994
contain,7.021732261348875e-05
ward,7.021732261348875e-05
maneg,7.021732261348875e-05
stoptx,3.5108661306744374e-05
prefer,0.000280869290453955
den,0.0010532598392023313
juli,3.5108661306744374e-05
elliot,7.021732261348875e-05
orh,7.021732261348875e-05
ummmmmaah,0.00010532598392023312
overa,7.021732261348875e-05
lunsford,7.021732261348875e-05
retir,7.021732261348875e-05
rcb,7.021732261348875e-05
vry,0.0002457606291472106
pink,0.00010532598392023312
kettoda,0.00017554330653372186
jason,0.00010532598392023312
chop,7.021732261348875e-05
movi,0.0008426078713618649
fiend,7.021732261348875e-05
friendship,0.0007021732261348875
pple,0.00021065196784046623
organ,7.021732261348875e-05
steamboat,7.021732261348875e-05
tens,7.021732261348875e-05
sleepi,0.00010532598392023312
ondu,7.021732261348875e-05
fault,0.000280869290453955
peni,0.00010532598392023312
voila,7.021732261348875e-05
requir,0.0001404346452269775
ben,3.5108661306744374e-05
bsn,7.021732261348875e-05
feelin,7.021732261348875e-05
priscilla,7.021732261348875e-05
deepak,0.00010532598392023312
hee,0.0003861952743741881
nte,7.021732261348875e-05
sweeti,0.00010532598392023312
tomeandsaid,0.00010532598392023312
mega,7.021732261348875e-05
slip,7.021732261348875e-05
log,0.00021065196784046623
theacus,7.021732261348875e-05
lib,7.021732261348875e-05
part,7.021732261348875e-05
deliveredtomorrow,3.5108661306744374e-05
shock,0.00010532598392023312
goal,7.021732261348875e-05
fart,7.021732261348875e-05
file,0.0002457606291472106
farrel,3.5108661306744374e-05
jstfrnd,0.0001404346452269775
sari,0.00010532598392023312
gotta,0.0003861952743741881
hol,0.0001404346452269775
hell,0.00021065196784046623
walmart,0.00010532598392023312
bodi,7.021732261348875e-05
deck,7.021732261348875e-05
mac,0.0001404346452269775
tookplac,7.021732261348875e-05
cloud,7.021732261348875e-05
nice,0.0016501070814169856
ubandu,7.021732261348875e-05
idea,0.0003861952743741881
maruti,7.021732261348875e-05
listn,7.021732261348875e-05
locat,7.021732261348875e-05
maretar,7.021732261348875e-05
somewheresomeon,7.021732261348875e-05
iter,7.021732261348875e-05
ran,7.021732261348875e-05
later,0.003967278727662114
legal,0.0001404346452269775
prepon,7.021732261348875e-05
basic,0.000280869290453955
accordingli,7.021732261348875e-05
pokkiri,7.021732261348875e-05
scotland,0.00010532598392023312
algarv,3.5108661306744374e-05
neth,7.021732261348875e-05
mathew,7.021732261348875e-05
darl,0.00017554330653372186
bright,0.00017554330653372186
blow,0.00010532598392023312
felt,0.00035108661306744373
grai,7.021732261348875e-05
reaction,7.021732261348875e-05
hopeu,7.021732261348875e-05
thing,0.003089562194993505
studdi,7.021732261348875e-05
stressful,7.021732261348875e-05
leonardo,7.021732261348875e-05
chik,3.5108661306744374e-05
juswok,7.021732261348875e-05
fite,7.021732261348875e-05
engag,7.021732261348875e-05
jide,7.021732261348875e-05
cast,7.021732261348875e-05
cashto,3.5108661306744374e-05
giv,0.0001404346452269775
confus,0.00017554330653372186
tank,7.021732261348875e-05
charl,0.00010532598392023312
nosi,7.021732261348875e-05
trauma,7.021732261348875e-05
advis,7.021732261348875e-05
yummmm,7.021732261348875e-05
dose,7.021732261348875e-05
aquariu,7.021732261348875e-05
morefrmmob,3.5108661306744374e-05
infect,0.00010532598392023312
okei,7.021732261348875e-05
open,0.0006319559035213988
iåõv,7.021732261348875e-05
finger,0.000280869290453955
mallika,7.021732261348875e-05
total,0.000280869290453955
born,0.00010532598392023312
zoom,7.021732261348875e-05
manag,0.00021065196784046623
prai,0.00035108661306744373
caveboi,7.021732261348875e-05
tip,7.021732261348875e-05
wallpap,3.5108661306744374e-05
nookii,3.5108661306744374e-05
slowli,0.00035108661306744373
maat,7.021732261348875e-05
gower,7.021732261348875e-05
knee,0.00010532598392023312
identif,7.021732261348875e-05
yun,0.0001404346452269775
dileep,7.021732261348875e-05
nope,0.00045641259698767686
tee,7.021732261348875e-05
punj,7.021732261348875e-05
tooth,3.5108661306744374e-05
plumb,7.021732261348875e-05
unlik,7.021732261348875e-05
weightloss,7.021732261348875e-05
kerala,0.0002457606291472106
pace,7.021732261348875e-05
bath,0.0007372818874416319
rememb,0.0008777165326686094
shoul,7.021732261348875e-05
sux,7.021732261348875e-05
seed,3.5108661306744374e-05
spoil,0.00010532598392023312
far,0.0004915212582944212
cough,0.00010532598392023312
mushi,7.021732261348875e-05
chillin,0.0001404346452269775
vitamin,7.021732261348875e-05
ralph,7.021732261348875e-05
bleak,7.021732261348875e-05
onlyfound,7.021732261348875e-05
bag,0.0003159779517606994
sun,0.00045641259698767686
trueåác,3.5108661306744374e-05
pierr,7.021732261348875e-05
consensu,7.021732261348875e-05
inr,7.021732261348875e-05
dearli,0.00010532598392023312
small,0.00035108661306744373
kitti,7.021732261348875e-05
machi,7.021732261348875e-05
cry,7.021732261348875e-05
regalportfolio,3.5108661306744374e-05
week,0.0020011936944844292
star,0.00010532598392023312
gettin,0.0002457606291472106
paru,7.021732261348875e-05
barbi,3.5108661306744374e-05
ibhltd,3.5108661306744374e-05
trav,3.5108661306744374e-05
squid,7.021732261348875e-05
checkbox,7.021732261348875e-05
lux,3.5108661306744374e-05
entertain,0.00010532598392023312
bcum,0.00021065196784046623
stuf,7.021732261348875e-05
chastiti,7.021732261348875e-05
budget,0.00021065196784046623
edit,7.021732261348875e-05
unsubscrib,3.5108661306744374e-05
curiou,0.00010532598392023312
express,0.00021065196784046623
recreat,7.021732261348875e-05
temper,7.021732261348875e-05
tough,0.00017554330653372186
teenag,3.5108661306744374e-05
shade,7.021732261348875e-05
afford,7.021732261348875e-05
miwa,7.021732261348875e-05
theplac,7.021732261348875e-05
satisfi,0.0001404346452269775
spun,7.021732261348875e-05
on,0.00021065196784046623
sundai,0.0003861952743741881
darkest,3.5108661306744374e-05
åômorrow,7.021732261348875e-05
paracetamol,7.021732261348875e-05
dosometh,7.021732261348875e-05
minmoremobsemspoboxpowa,3.5108661306744374e-05
lindsai,7.021732261348875e-05
rai,0.0001404346452269775
chang,0.0009830425165888424
goinb,7.021732261348875e-05
arrang,0.00017554330653372186
hour,0.0012639118070427975
esaplanad,7.021732261348875e-05
callertun,0.0002457606291472106
thnk,0.0002457606291472106
cld,0.00010532598392023312
fgkslpo,3.5108661306744374e-05
wellda,7.021732261348875e-05
toss,7.021732261348875e-05
buddi,3.5108661306744374e-05
malaria,0.000280869290453955
croydon,3.5108661306744374e-05
tooo,0.00010532598392023312
amus,0.00010532598392023312
proverb,0.00010532598392023312
tke,7.021732261348875e-05
activ,0.00017554330653372186
planet,0.00010532598392023312
musthu,7.021732261348875e-05
statement,0.00010532598392023312
bcm,3.5108661306744374e-05
immedi,0.00021065196784046623
individu,7.021732261348875e-05
non,7.021732261348875e-05
refund,7.021732261348875e-05
scenario,7.021732261348875e-05
anybodi,0.00017554330653372186
promot,3.5108661306744374e-05
temp,0.0001404346452269775
sed,0.00017554330653372186
floor,0.0001404346452269775
aphexåõ,7.021732261348875e-05
psp,3.5108661306744374e-05
sea,0.00045641259698767686
beerag,7.021732261348875e-05
hurrican,7.021732261348875e-05
wear,0.0002457606291472106
nooooooo,7.021732261348875e-05
south,0.0002457606291472106
mon,0.0003159779517606994
cedar,7.021732261348875e-05
gloucesterroad,7.021732261348875e-05
li,7.021732261348875e-05
simpl,0.00056173858090791
caught,0.00010532598392023312
number,0.0017554330653372187
papa,7.021732261348875e-05
show,0.0004915212582944212
rememberi,7.021732261348875e-05
tonesu,3.5108661306744374e-05
class,0.0013341291296562862
concern,7.021732261348875e-05
wrong,0.00045641259698767686
claim,3.5108661306744374e-05
dog,0.00021065196784046623
hen,7.021732261348875e-05
tongu,7.021732261348875e-05
loko,7.021732261348875e-05
cyst,7.021732261348875e-05
perumbavoor,7.021732261348875e-05
andr,0.00010532598392023312
sens,0.0002457606291472106
countin,0.00010532598392023312
barcelona,7.021732261348875e-05
crap,0.00010532598392023312
med,0.00021065196784046623
what,0.0005266299196011656
singapor,7.021732261348875e-05
perform,7.021732261348875e-05
av,0.00017554330653372186
dorm,0.00010532598392023312
showroom,7.021732261348875e-05
anna,0.00010532598392023312
complex,7.021732261348875e-05
cheek,7.021732261348875e-05
dealer,0.00010532598392023312
determin,0.00010532598392023312
previous,3.5108661306744374e-05
tamilnadu,7.021732261348875e-05
ignor,0.0002457606291472106
scari,0.0001404346452269775
regard,0.00017554330653372186
sullivan,3.5108661306744374e-05
wcn,3.5108661306744374e-05
pain,0.0008426078713618649
admir,3.5108661306744374e-05
tkt,3.5108661306744374e-05
fgkslpopw,3.5108661306744374e-05
meg,3.5108661306744374e-05
associ,7.021732261348875e-05
uncut,7.021732261348875e-05
bani,7.021732261348875e-05
magazin,7.021732261348875e-05
yer,3.5108661306744374e-05
readi,0.0008777165326686094
secret,0.00017554330653372186
rich,0.0001404346452269775
rhode,7.021732261348875e-05
thousad,7.021732261348875e-05
bao,7.021732261348875e-05
weigh,7.021732261348875e-05
terrif,7.021732261348875e-05
disc,7.021732261348875e-05
mmmm,0.0001404346452269775
semest,0.00035108661306744373
aiyo,0.00017554330653372186
lage,7.021732261348875e-05
stoner,7.021732261348875e-05
craigslist,7.021732261348875e-05
restrict,7.021732261348875e-05
incid,0.0001404346452269775
jade,7.021732261348875e-05
accumul,7.021732261348875e-05
period,0.00010532598392023312
costå£,3.5108661306744374e-05
simpler,0.00010532598392023312
noe,0.00056173858090791
chatter,3.5108661306744374e-05
justbeen,7.021732261348875e-05
live,0.0007372818874416319
syrup,7.021732261348875e-05
bite,0.00017554330653372186
tscswinawk,3.5108661306744374e-05
reciev,3.5108661306744374e-05
bookmark,3.5108661306744374e-05
add,0.0003159779517606994
mnth,7.021732261348875e-05
own,0.0001404346452269775
cover,0.0003159779517606994
plumber,7.021732261348875e-05
sirji,7.021732261348875e-05
geva,0.00010532598392023312
hunni,0.00017554330653372186
nitw,7.021732261348875e-05
reckon,0.00010532598392023312
xavier,0.00010532598392023312
hint,0.0001404346452269775
hugh,7.021732261348875e-05
